"id","software_name","description","total_complaints","resolved"
"3","Land","•	Route assigned to project Karakoram Highway (N-35)   •	Route assigned to project  Khushal Guar Project (N-80)","2","2"
"7","HRMIS","•	17x user credential updated fro salary slip and ICP Chart as per user requirements   •	7x Permission name change of all dashboards as per direction of Director MIS.","7","7"
