id,particulars,reserve_person,previous_month,previous_month_quantity,current_month,current_month_quantity,hoursspend
1,New Emails Accounts (Password Reset),1,2020-12,35,2021-01,30,29
2,Tenders Uploaded on PPRA,1,2021-04,15,2021-05,12,33
